"Date","IP","INFL","RM","FFR"
1976 Sep,0.33137869130706,0.522194398115161,0.57202444068718,5.25
1976 Oct,-0.0316301296443999,0.51948168771041,0.749067172915741,5.02
1976 Nov,1.52210007886828,0.344827927891611,0.820096856710073,4.95
1976 Dec,1.07235921274658,0.515022597631543,0.691833057535174,4.65
1977 Jan,-0.686401405076253,0.512383699986962,0.626644460139758,4.61
1977 Feb,1.56508449334516,1.0169579169629,0.0402941478203189,4.68
1977 Mar,1.26081993388962,0.50462680676242,0.417096511615256,4.69
1977 Apr,0.972330737513882,0.668898815079633,0.260429856214106,4.73
1977 May,0.768422611569797,0.332779009267536,0.449147376484493,5.35
1977 Jun,0.761519379155606,0.497101272202016,0.228787526435426,5.39
1977 Jul,0.12889394940192,0.494642393532541,0.233221790366844,5.42
1977 Aug,0.102704170004619,0.492207720542837,0.341407026156126,5.9
1977 Sep,0.397529732973645,0.326797676461599,0.418977815613086,6.14
1977 Oct,0.159771422060739,0.488202759730871,0.132720544465403,6.47
1977 Nov,0.180600872652903,0.647251450561726,0.0196473304820977,6.51
1977 Dec,0.17676787923917,0.482704074831553,0.142327819663279,6.56
1978 Jan,-1.47048788915249,0.640002184546784,0.0980392235390148,6.7
1978 Feb,0.556859066536131,0.477327875265754,-0.0245007963984634,6.78
1978 Mar,1.89501716068361,0.632913505164723,-0.112781045126731,6.79
1978 Apr,1.97021111120379,0.785549994030887,-0.152210767608985,6.89
1978 May,0.480416591465538,0.934586241823787,-0.162285806105888,7.36
1978 Jun,0.640683889579829,0.772204609391025,-0.162549601094231,7.6
1978 Jul,-0.0717335979793621,0.766287274556987,-0.345679356567619,7.81
1978 Aug,0.408904669176691,0.608829886725459,0.0988875235094611,8.04
1978 Sep,0.235246668772948,0.906350615334706,-0.0444872847849886,8.45
1978 Oct,0.770085022270495,0.89820963158278,-0.356612562176828,8.96
1978 Nov,0.765751660228631,0.594355390084811,-0.0943185554793224,9.76
1978 Dec,0.497420577058172,0.590843668616614,-0.0844657591271059,10.03
1979 Jan,-0.540682025284234,0.87977107035293,-0.473332390163428,10.07
1979 Feb,0.509991399099352,1.01671173554445,-0.565949473440774,10.06
1979 Mar,0.298784459576096,1.00647866161401,-0.28166199085744,10.09
1979 Apr,-1.20131101083558,0.996449525943177,0.0302160449496824,10.01
1979 May,0.888625810250376,1.12677248463431,-0.550353564030637,10.24
1979 Jun,0.00752980790656999,1.11421765532418,-0.212873876636355,10.29
1979 Jul,-0.161725883851638,1.101939524961,-0.274362533653338,10.47
1979 Aug,-0.651478213346923,0.954335804690043,-0.137464064616655,10.94
1979 Sep,-0.00486614689827469,0.945314264375519,-0.428878427221768,11.43
1979 Oct,0.684186803135356,1.06952891167476,-0.636487109226014,13.77
1979 Nov,-0.163685474153796,1.05821093305369,-0.682032198430971,13.18
1979 Dec,0.0660094779505904,1.17725362252674,-0.644962185799347,13.78
1980 Jan,0.536907306137469,1.42029501779932,-0.812096779685945,13.82
1980 Feb,0.0450292697857346,1.27390257774298,-0.474584311973469,14.13
1980 Mar,-0.426860012062269,1.38280016072923,-1.03605846664578,17.19
1980 Apr,-1.98965716004156,0.993796999013252,-0.831259981936583,17.61
1980 May,-2.48828275584976,0.984017780151092,-0.318239703305245,10.98
1980 Jun,-1.30060151128504,0.97442914746777,0.140366054466945,9.47
